StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CERVICAL_CrudePrev,CERVICAL_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,GHLTH_CrudePrev,GHLTH_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation,States,Counties
OR,Oregon,Marion,41047,41047010802,6040,11.8,"(10.0, 13.7)",25.2,"(24.1, 26.3)",15.2,"(14.9, 15.6)",31.9,"(31.1, 32.7)",70.9,"(70.1, 71.7)",6.7,"( 6.4,  7.0)",10.9,"(10.5, 11.5)",83.9,"(82.5, 85.4)",6.4,"( 5.9,  6.9)",73.9,"(73.0, 74.7)",86.1,"(85.8, 86.4)",74.9,"(73.1, 76.7)",7.3,"( 6.4,  8.3)",46.8,"(42.1, 51.7)",48.6,"(44.0, 52.8)",17.0,"(15.2, 18.9)",64.9,"(61.7, 68.0)",24.7,"(23.6, 25.9)",9.9,"( 9.3, 10.6)",15.4,"(13.6, 17.4)",29.0,"(28.4, 29.5)",2.9,"( 2.7,  3.1)",20.1,"(18.7, 21.7)",77.8,"(74.7, 80.5)",15.6,"(14.6, 16.6)",34.6,"(33.3, 35.8)",10.9,"( 9.9, 12.0)",30.7,"(29.5, 31.9)",3.1,"( 2.8,  3.4)",13.1,"(10.3, 16.2)",POINT (-123.0430756 44.7632058),12,2409
OR,Oregon,Marion,41047,41047001502,5253,15.2,"(13.0, 17.5)",21.7,"(20.7, 22.6)",16.3,"(15.7, 17.0)",28.1,"(27.1, 29.1)",66.3,"(65.0, 67.5)",5.5,"( 5.2,  5.7)",11.1,"(10.6, 11.7)",83.0,"(81.0, 84.9)",5.3,"( 4.8,  5.7)",71.6,"(70.7, 72.5)",84.0,"(82.7, 85.4)",72.9,"(70.2, 75.6)",6.4,"( 5.6,  7.3)",45.8,"(38.0, 53.4)",46.6,"(39.1, 53.5)",17.8,"(15.4, 20.3)",62.1,"(58.7, 65.2)",25.2,"(24.0, 26.4)",8.8,"( 8.2,  9.4)",15.4,"(13.8, 17.3)",25.7,"(24.9, 26.5)",2.6,"( 2.4,  2.7)",21.1,"(19.2, 23.5)",77.3,"(73.7, 80.4)",16.8,"(15.8, 17.9)",35.0,"(33.6, 36.1)",10.5,"( 9.6, 11.4)",31.9,"(30.6, 33.1)",2.7,"( 2.4,  3.0)",14.9,"(10.1, 20.6)",POINT (-123.0106099 44.99768375),12,2409
OR,Oregon,Marion,41047,41047010503,3870,12.3,"(10.3, 14.6)",27.7,"(26.3, 29.1)",14.2,"(13.8, 14.6)",34.3,"(33.3, 35.3)",73.1,"(72.3, 74.0)",7.3,"( 7.0,  7.7)",11.3,"(10.7, 12.0)",82.7,"(80.8, 84.5)",7.4,"( 6.6,  8.1)",74.9,"(73.9, 75.8)",86.4,"(85.6, 87.3)",73.5,"(71.4, 75.6)",8.6,"( 7.2, 10.0)",45.3,"(39.1, 50.9)",46.6,"(41.1, 51.8)",17.8,"(15.8, 19.9)",62.2,"(58.3, 66.0)",25.2,"(23.8, 26.7)",11.1,"(10.1, 12.0)",17.6,"(15.0, 20.3)",30.2,"(29.5, 30.9)",3.4,"( 3.1,  3.6)",22.0,"(20.1, 23.8)",77.3,"(73.2, 80.9)",16.0,"(14.7, 17.2)",35.2,"(33.6, 36.7)",12.2,"(10.8, 13.6)",30.7,"(29.1, 32.2)",3.7,"( 3.2,  4.2)",15.4,"(11.2, 19.9)",POINT (-122.7919617 44.96140176),12,2409
OR,Oregon,Marion,41047,41047010306,9060,29.2,"(24.2, 34.0)",25.9,"(24.8, 26.8)",13.0,"(12.4, 13.6)",33.8,"(32.6, 34.8)",70.7,"(69.5, 72.1)",6.4,"( 6.0,  6.8)",11.6,"(11.0, 12.2)",77.9,"(75.1, 80.8)",8.4,"( 7.5,  9.3)",72.5,"(71.4, 73.6)",81.8,"(81.6, 82.0)",67.7,"(65.1, 70.5)",9.5,"( 8.1, 10.9)",37.4,"(29.3, 46.6)",35.1,"(27.3, 44.6)",19.6,"(17.0, 22.0)",47.8,"(43.4, 52.4)",24.2,"(23.0, 25.6)",13.4,"(12.5, 14.3)",27.1,"(23.9, 30.4)",28.0,"(27.0, 29.1)",4.1,"( 3.8,  4.6)",32.9,"(29.7, 36.1)",75.4,"(72.1, 79.0)",17.6,"(16.4, 18.9)",38.9,"(37.6, 40.1)",15.2,"(13.7, 16.7)",32.3,"(31.0, 33.5)",4.6,"( 3.9,  5.3)",27.4,"(17.2, 37.5)",POINT (-122.8731669 45.14279243),12,2409
OR,Oregon,Marion,41047,41047000200,3233,9.4,"( 7.3, 12.8)",16.2,"(15.4, 17.1)",17.8,"(16.7, 19.0)",21.6,"(20.6, 22.6)",64.2,"(62.3, 66.1)",4.5,"( 4.3,  4.8)",11.3,"(10.5, 12.4)",78.8,"(75.0, 82.5)",4.0,"( 3.6,  4.4)",71.7,"(70.1, 73.2)",78.9,"(78.9, 78.9)",75.9,"(73.2, 78.3)",4.5,"( 3.9,  5.2)",48.3,"(40.7, 55.3)",47.3,"(40.8, 53.2)",11.2,"( 8.8, 13.9)",69.5,"(64.3, 73.7)",25.5,"(23.4, 28.0)",6.2,"( 5.7,  6.6)",10.5,"( 9.0, 12.5)",20.7,"(19.9, 21.6)",2.0,"( 1.9,  2.2)",15.1,"(12.9, 18.0)",79.1,"(75.6, 82.1)",17.4,"(15.1, 19.7)",27.4,"(25.6, 29.2)",7.7,"( 6.8,  8.6)",28.0,"(25.7, 30.1)",2.0,"( 1.7,  2.2)",10.7,"( 6.6, 16.2)",POINT (-123.0345958 44.94219556),12,2409
OR,Oregon,Marion,41047,41047002502,5033,15.9,"(14.1, 17.8)",29.9,"(28.8, 31.0)",13.2,"(12.9, 13.4)",37.0,"(36.2, 37.6)",75.2,"(74.6, 75.8)",8.2,"( 7.8,  8.6)",11.0,"(10.6, 11.5)",81.7,"(80.4, 82.9)",8.6,"( 7.9,  9.4)",75.7,"(75.0, 76.3)",87.0,"(86.8, 87.3)",74.7,"(73.1, 76.2)",9.4,"( 8.3, 10.6)",44.4,"(39.9, 48.7)",44.7,"(41.0, 48.6)",17.7,"(16.3, 18.8)",60.4,"(57.5, 63.0)",24,"(23.1, 24.9)",12.6,"(11.8, 13.3)",19.8,"(17.8, 21.9)",31.9,"(31.4, 32.5)",3.8,"( 3.5,  4.1)",24.8,"(23.5, 26.2)",75.8,"(72.8, 78.9)",15.4,"(14.7, 16.1)",35.5,"(34.5, 36.4)",13.1,"(12.0, 14.2)",30.7,"(29.8, 31.6)",4.3,"( 3.8,  4.7)",17.2,"(14.0, 20.8)",POINT (-122.9770985 45.05087646),12,2409
OR,Oregon,Marion,41047,41047000600,4858,12.4,"(10.5, 14.6)",24.8,"(23.4, 26.1)",15.2,"(14.6, 15.9)",31.2,"(30.0, 32.4)",69.9,"(68.5, 71.2)",6.4,"( 6.0,  6.7)",11.3,"(10.8, 11.9)",82.8,"(80.4, 85.2)",6.1,"( 5.5,  6.7)",73.6,"(72.7, 74.5)",85.2,"(85.2, 85.3)",72.6,"(69.4, 75.6)",7.4,"( 6.2,  8.6)",44.9,"(37.1, 52.5)",44.0,"(36.3, 51.9)",17.7,"(14.9, 20.6)",62.4,"(58.6, 65.9)",25.2,"(23.9, 26.5)",9.8,"( 9.0, 10.6)",16.3,"(14.2, 18.7)",27.6,"(26.7, 28.4)",3.0,"( 2.7,  3.2)",21.3,"(18.9, 23.9)",77.9,"(74.1, 81.4)",16.4,"(15.2, 17.6)",35.2,"(33.8, 36.7)",11.3,"(10.1, 12.6)",31.4,"(29.9, 32.8)",3.2,"( 2.8,  3.6)",15.0,"( 9.3, 22.2)",POINT (-123.0136504 44.94684609),12,2409
OR,Oregon,Marion,41047,41047002301,3176,9.3,"( 7.7, 11.1)",21.4,"(20.1, 22.6)",16.8,"(16.1, 17.4)",27.0,"(25.9, 28.2)",67.1,"(65.7, 68.5)",6.0,"( 5.7,  6.3)",10.7,"(10.1, 11.3)",85.3,"(83.2, 87.2)",4.7,"( 4.3,  5.2)",72.8,"(71.8, 73.7)",86.7,"(86.3, 87.0)",75.8,"(73.0, 78.3)",5.4,"( 4.5,  6.3)",50.6,"(43.3, 58.1)",51.3,"(45.0, 57.3)",14.3,"(11.8, 16.9)",70.2,"(66.5, 73.6)",24.7,"(23.3, 26.1)",7.7,"( 7.0,  8.3)",11.4,"( 9.8, 13.3)",26.0,"(25.2, 26.9)",2.3,"( 2.1,  2.5)",16.2,"(14.3, 18.2)",78.4,"(74.4, 81.9)",15.4,"(14.2, 16.7)",31.9,"(30.3, 33.5)",8.8,"( 7.8,  9.9)",30.1,"(28.5, 31.6)",2.3,"( 2.0,  2.6)",9.8,"( 6.8, 13.8)",POINT (-123.0721172 44.87050487),12,2409
OR,Oregon,Marion,41047,41047001401,5666,11.1,"( 9.2, 13.2)",27.2,"(25.7, 28.6)",13.9,"(13.3, 14.4)",33.4,"(32.0, 34.7)",74.0,"(72.8, 75.2)",8.0,"( 7.6,  8.4)",10.6,"(10.1, 11.2)",84.5,"(82.1, 86.7)",7.0,"( 6.3,  7.7)",75.7,"(74.8, 76.6)",88.0,"(87.0, 89.0)",77.2,"(74.6, 79.6)",7.2,"( 6.1,  8.6)",48.7,"(40.6, 56.6)",49.1,"(41.5, 56.4)",14.5,"(12.0, 17.0)",67.6,"(64.1, 71.1)",23.6,"(22.3, 24.9)",10.3,"( 9.4, 11.1)",14.7,"(12.8, 17.0)",30.2,"(29.3, 31.2)",3.2,"( 2.9,  3.4)",19.7,"(17.4, 22.2)",77.5,"(73.6, 81.0)",14.5,"(13.5, 15.6)",32.6,"(31.2, 34.1)",10.5,"( 9.4, 11.8)",29.4,"(28.0, 30.7)",3.3,"( 2.9,  3.8)",12.2,"( 7.5, 17.8)",POINT (-123.0497584 45.00510018),12,2409
OR,Oregon,Marion,41047,41047010702,6375,10.0,"( 8.8, 11.4)",29.0,"(27.9, 30.1)",13.9,"(13.5, 14.2)",35.2,"(34.3, 36.0)",75.0,"(74.2, 75.8)",8.9,"( 8.5,  9.3)",10.5,"(10.2, 10.9)",84.8,"(83.5, 86.1)",7.8,"( 7.2,  8.4)",76.4,"(75.8, 77.0)",88.9,"(88.6, 89.1)",76.5,"(75.1, 78.0)",7.7,"( 6.8,  8.6)",49.0,"(43.7, 54.3)",46.9,"(41.4, 52.4)",14.7,"(13.5, 16.1)",68.3,"(65.8, 70.6)",23.4,"(22.6, 24.2)",10.4,"( 9.7, 11.0)",14.9,"(13.3, 16.6)",31.2,"(30.6, 31.8)",3.4,"( 3.1,  3.6)",19.8,"(18.2, 21.4)",76.8,"(74.2, 79.0)",14.3,"(13.6, 14.9)",32.0,"(31.0, 33.0)",10.8,"(10.0, 11.8)",29.1,"(28.2, 30.2)",3.7,"( 3.2,  4.1)",12.6,"( 9.2, 16.8)",POINT (-122.7602558 44.83861067),12,2409
